Id,nFollowers
RethinkDeployment,0
rlapenda,0
jhlr,0
aricardoreis,0
thienry,0
juliorangel,0
ivojunior,0
davilmaster,0
FelipeMartins96,0
CITi-UFPE,0
Carranca22,0
tarcisiosluna,0
Epitrack,0
Thales28,0
liferaybrasil,0
arthurmagno,0
phsg,0
brunors,0
tisstech-brasil,0
EmersonFreire,0
GPRT,0
quelcmpllo,0
Saber-Tecnologias,0
crystalsantos,0
Mijaru,0
HugoSoares01,0
LivreDigital,0
whyllyan,0
ustore,0
adstec,0
waltonribeiro,0
Joaocara,0
thyagoismael,0
OtavianoM,0
DojoDev,0
hscabral,0
GabrielVanderlei,0
facilit,0
BisaWeb,0
mavydiego2,0
gruporpj,0
manguezal,0
paulofcf,0
julliomendonca,0
imsafetech,0
jasj88,0
romgino,0
cacalado,0
efgs,0
CaioRanyel,0
Lucas269,0
prauebi,0
tecnologiaweb,0
aronsales,0
cowde,0
Musicamise,0
AlfredoSilv,0
lucaswelton,0
adwwconsortium,0
Hashboard,0
rborges79,0
jopherl,0
acoelhods,0
geeknightrecife,0
engsw-gcm-master,0
myualmeida,0
thiagopaz01,0
vicentesimoni,0
quernel,0
MariaLuiza1967,0
paulomartinelli,0
marcelomanchester,0
luizamorimsouza,0
aristideslimajr,0
oumessias,0
hmignite,0
danilopor,0
robertgmelo,0
miguelg4,0
ranoya,0
gugaemc,0
JulianePires,0
roomts,0
diegotomfurtado,0
wololo-tech,0
renanalencar,0
danilobarros18,0
thiagoporb,0
vpalmeira,0
arthurbrdantas,0
paulovgtb,0
alm4,0
bruno-leo,0
dhsm,0
pedro-dreyer,0
r8tecnologia,0
i2mobilesolutions,0
dass-cin,0
hilariopio,0
cavalcantalines,0
angelica1981,0
edupombos,0
heliowap,0
ademilsodream,0
nunesjessica,0
romerorussel,0
wellingtoncabral,0
romendesTW,0
fabiocordeiroaraujo,0
bemind,0
lucianan,0
livyson,0
rafa-br,0
citi-onboarding,0
morrico,0
Aennson,0
tunechijr,0
SingularitySystems,0
wadeandev,0
andresaboia,0
Combogo,0
Luanpcdp,0
itep-pe,0
heycaio,0
tenpestaerodesign,0
To1ur00,0
kcpedrosa,0
malloni,0
vjsl,0
EFTBR,0
BenjamimRodrigo,0
felipetavaresmelo,0
brunomonteiro-pitang,0
mbf1998,0
matheusvfm,0
jacksonraniel,0
ViniFlira,0
lainformatica,0
mesainc,0
abneralcantara,0
edilsonalves,0
Saulo8732,0
rafaelcn1,0
filiphecarvalho,0
gwarah,0
SrWarlock200,0
Webinterativa,0
olavovitor,0
FelipeSQ,0
birut,0
victorxavier,0
brunoharada,0
danieldani1983,0
BananaDigital,0
Aryostto,0
BernardoMontador,0
afluentes,0
eramo-software,0
klaytson,0
avantiaipd,0
wiltonmoreirajr,0
rosilene15,0
makellage,0
gfellype,0
fmsystem,0
somdok7,0
vitoivan,0
LAMFSistemas,0
Makqsi,0
PedroVictorDev,0
andersontrinity,0
comptechsolucoes,0
rafamelima,0
znmC3zBvUaZS1GC1CRns,0
leogoncalves0112,0
alissonmenezes,0
smochin,0
tpresende,0
amorim-cleison,0
fadusi,0
ecsn,0
bernardoreis,0
Ch1c0h,0
henriquexpert,0
amitc77,0
venosyd,0
FredericFerrera,0
jonathan2008r,0
viitra,0
isabarrostw,0
buarquepedro,0
rairangelos,0
portalabsurdo,0
whiteofdark,0
thiagomoch,0
edudelta,0
jeffersonamorim,0
ueduardo,0
leonardotrindade,0
heitorfranca,0
luizlbon,0
DigitalBits,0
brunodarce,0
DevIsola,0
lucdias,0
eduardoemery,0
aldeniolima,0
IkaroSales,0
sflorencio,0
Silop,0
mikeliguedes,0
douglasventura,0
UFPE,0
Manasses-Java,0
isaacdias,0
rafaelborja,0
ThiagoPrime,0
clinica-sim,0
alesefs,0
b2tradingclub,0
NeylorCesar,0
porquin,0
rbertoli99,0
BrunoCamelo,0
joaocarlosdv,0
geekcafe,0
eperazzo,0
eliezerjunioradsw,0
ruliribeiro,0
juarezcruz,0
henriquedapenha,0
dihutus,0
orygens,0
BrunoLeo,0
leoaraujo-royal,0
edax-gemmius,0
henriqueapollo,0
jeffersoncpf,0
ogilvygustavo,0
GuiHebert,0
daniloipubi,0
manoelaugustoc,0
Jeffguitar,0
silvinoneto,0
viniciusjsantanna,0
gustavocabral,0
dfsdaniel,0
vctdiniz,1
otluiz,0
gfads,0
Monaliisa,0
wagnercasino,0
BestDesigners,0
joseanesantos,0
ggcampos,0
hrockcouto,0
eletronic,0
cjmduarte,0
jhonathanmatheus,0
alexmulatinho,0
digitalnativa,0
eudesnoberto,0
somosaponte,0
kimtjs16,0
iamavalon,0
wecarecorp,0
codetimesistemas,0
oliveiramarcello,0
jmachadoaneto,0
jgabrielssilva,0
if710,0
rafaelgibam,0
jorgesouza000,0
heltonsantos,0
tjcm,0
aponte,0
JenniferPayne,0
rsaRodrigoSales,0
EduardoSoares,0
ooerlang,0
gdg-recife,0
azevedoluiz,0
seederwood,0
guilhermecahu,0
italosimoes,0
tbxc,0
ThatyLima,0
leandrorio,0
kauparesque,0
dvnp,0
prgc,0
Openredu,0
kassioribeiro,0
ivalenca,0
gleydsonageu,0
maurojcs,0
Azuirson,0
evercodes,0
RebecaHayanny,0
carlosneander,0
livox,0
antoniovandre,0
abic-ong,0
MarianaSenaBarreto,0
icsouza,0
silviogatisf,0
rwarstat,0
fabianotiagobs,0
flavioasobrinho,0
brunoperruci,0
Danilosouza9612,0
mrmgomes,0
flisolrecife,0
gmenge,0
hugorlima,0
pedroclericuzi,0
cfregis,0
hqlpedro,0
In-Loco-Media,0
avlm,0
prfrancaf,0
Crypttus,0
maykeriibeiro,0
leettech,0
jacscin,0
marcosjppf,0
